,Message,Favourite Count,Retweet Count,Created At,user_name,user_location,user_verified
0,"“Mobile Ads Click-Through Rate (CTR) Prediction” by Susan Li https://t.co/nGaekZ8Njg

#AI #MachineLearning #DataScience",0,0,2019-06-05 04:06:57,Santosh Dogra,Mumbai,False
1,"RT @odsc: In an ideal world, implementing machine learning systems would happen without an issue. Though, that’s not the case usually, and…",0,12,2019-06-05 04:06:35,KAWEESA RODNEY,"Kampala, Uganda",False
2,RT @marcusborba: Artificial Intelligence and #Blockchain — The 3 Major Benefits Of Combining These Two Mega-Trends: https://t.co/1i8GCeWH5C…,0,9,2019-06-05 04:06:34,Machine Learning,,False
3,RT @SolarCycle28: #NeuralNetworks #AI #ML #MachineLearning #ArtificialIntelligence #fakenews #deepfakes #fakes #technology #Algorithms #Big…,0,5,2019-06-05 04:06:25,Machine Learning,,False
4,RT @gp_pulipaka: Dynamic Regeneration is a Partial Redeployment of the Embryonic Gene Network. #BigData #Analytics #DataScience #AI #Machin…,0,8,2019-06-05 04:06:23,Alec Pettifer,"Philadelphia, PA",False
5,"RT @Ronald_vanLoon: What is #InternetofThings? [#INFOGRAPHICS]
 via @ahmedjr_16 @Fisher85M |

 #IoT #SmartWorld #Bigdata #SMM #CyberSecurit…",0,21,2019-06-05 04:06:07,Jamil Ahmed,,False
6,"RT @majkamichal: A new version of the naivebayes package is available on CRAN. This major update brings new functions, improves user experi…",0,6,2019-06-05 04:06:04,Curious Luke,Switzerland,False
7,"RT @gp_pulipaka: Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI #MachineLearn…",0,7,2019-06-05 04:06:03,Alain Natalini,Italy,False
8,"RT @ipfconline1 The Difference Between Data Mining and Statistics

https://t.co/tMjAmwYO2F v/ @simplilearn… https://t.co/5tWV03y4zv",0,0,2019-06-05 04:05:54,Céline Gianni Darnet,France,False
9,"RT @majkamichal: A new version of the naivebayes package is available on CRAN. This major update brings new functions, improves user experi…",0,6,2019-06-05 04:05:44,Marc Gimeno,,False
10,"RT @marcusborba: Microsoft reaffirms #AI will augment the human experience rather than replace it

https://t.co/OxKPW1s3zH @campbell_kwan @…",0,7,2019-06-05 04:05:38,Machine Learning,,False
11,RT @Deep_In_Depth: What Skills Should Aspiring Data Scientists Develop? https://t.co/CKVLvZi0lH #DeepLearning #MachineLearning #AI #DataSci…,0,11,2019-06-05 04:05:30,Machine Learning,,False
12,RT @MikeTamir: A Repository of Conversational Datasets – Matt Henderson – Medium https://t.co/aeTUsfVky7 #AI #MachineLearning #DeepLearning…,0,21,2019-06-05 04:05:25,Machine Learning,,False
13,RT @MikeQuindazzi: #AI-related #patent applications increase from 19k to 56k in just 4 years &gt;&gt;&gt; @FT via @MikeQuindazzi  &gt;&gt;&gt; #AI #Robotics…,0,109,2019-06-05 04:05:16,Machine Learning,,False
14,RT @batoolchishti92: Top story: @MikeQuindazzi: 'By 2030... #AI is projected to add $16 trillion to the global #economy &gt;&gt;&gt; #PwC and @wef v…,0,28,2019-06-05 04:05:09,Céline Gianni Darnet,France,False
15,"HT KirkDBorne :

The #AI Landscape — what does #BigData and #MachineLearning got to do with it?… https://t.co/XKJDj7g2j2",0,0,2019-06-05 04:05:08,"Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan",False
16,Prediction of Customer Churn with Machine Learning - Data Science Central #datascience https://t.co/7Yz4bzIFwl,0,0,2019-06-05 04:05:03,Data Science Reads,,False
17,"RT @ProgrammerBooks: Pro SharePoint 2007 Development Techniques ==&gt; https://t.co/az27AYDUza

#python #javascript #angular #reactjs #vuejs #…",0,7,2019-06-05 04:04:59,Rovio,,False
18,"Difference between Machine Learning, Data Science, AI, Deep Learning, and Statistics – Data Science Central… https://t.co/6HaPRbhffm",0,0,2019-06-05 04:04:48,Data science,,False
19,"Data Science in Action for #Actors

Mathematicians work out how to predict success in show business
#DataScience… https://t.co/poVVUqW1NK",0,0,2019-06-05 04:04:39,Bhagirath Lader,Noida,False
20,RT KirkDBorne: The #AI Landscape — what does #BigData and #MachineLearning got to do with it?… https://t.co/otmQgPL5vq,0,0,2019-06-05 04:04:30,Reina Lingle,Greater Atlanta Area,False
21,"RT @KirkDBorne: Prediction of Customer Churn with #MachineLearning: https://t.co/yNKzCzlnfL
————— 
#BigData #DataScience #AI #PredictiveAna…",0,8,2019-06-05 04:04:29,WioAI,United States,False
22,RT @neptanum: Is Optimization a Sufficient Language for Understanding #DeepLearning? #BigData #Analytics #DataScience #AI #MachineLearning…,0,9,2019-06-05 04:04:28,Machine Learning,The Earth,False
23,"RT @Ronald_vanLoon: 3 Types of #Regression in One Picture
by @CapriGranville @DataScienceCtrl

Learn more https://t.co/TjJh2Az1BU

#AI #Big…",0,16,2019-06-05 04:04:23,Dr. Ruchi Dass,United Kingdom,False
24,"RT @EXAGolo: #Digitaltransformation projects are now crucial to a business's survival, which means #data scientists are also key.  Here's h…",0,2,2019-06-05 04:04:23,Machine Learning,The Earth,False
25,"RT @KirkDBorne: The #AI Landscape — what does #BigData and #MachineLearning got to do with it? https://t.co/WQrJspEm8m
———
#DataScience #Pr…",0,2,2019-06-05 04:04:20,Brad Cherniak,"Toronto, Canada",False
26,"RT @AnsonMcCade: Government cybersecurity scheme backs deep web and AI start-ups 

via @ansonmccade https://t.co/ysXWH5ABzc #technology #Te…",0,2,2019-06-05 04:04:05,Machine Learning,The Earth,False
27,"The #AI Landscape — what does #BigData and #MachineLearning got to do with it? https://t.co/WQrJspEm8m
———… https://t.co/sO0H9FoTgg",0,2,2019-06-05 04:03:48,Kirk Borne,Booz Allen Hamilton,True
28,RT @techjunkiejh: Confessions of a data scientist: 'Marketers don’t know what they’re asking for' - Digiday https://t.co/tdKrY59Zk3 #bigdat…,0,2,2019-06-05 04:03:47,Machine Learning,The Earth,False
29,"RT @munniomer: These have to be at the top of my list of most highly recommended books! ♥
Thanks you @aureliengeron @jakevdp   @fchollet .…",0,19,2019-06-05 04:03:32,xael bot,Earth,False
30,"RT @munniomer: These have to be at the top of my list of most highly recommended books! ♥
Thanks you @aureliengeron @jakevdp   @fchollet .…",0,19,2019-06-05 04:03:18,Adrinbot,Georgia,False
31,"RT @munniomer: These have to be at the top of my list of most highly recommended books! ♥
Thanks you @aureliengeron @jakevdp   @fchollet .…",0,19,2019-06-05 04:03:13,Abdifatah Ali,Minn,False
32,"RT @gp_pulipaka: Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI #MachineLearn…",0,7,2019-06-05 04:03:04,Curious Luke,Switzerland,False
33,"RT @Ronald_vanLoon: Free Ebook: Your Guide to Becoming a #DataScientist
 by @DataScienceCtrl @Glassdoor |

https://t.co/MbacR2AaTO 

 #Data…",0,9,2019-06-05 04:02:52,hamad,Riyadh,False
34,"RT @AnsonMcCade: Twitter buys London startup that uses AI to detect fake news

via @ansonmccade https://t.co/757UApXccE #technology #TechNe…",0,1,2019-06-05 04:02:29,Machine Learning,The Earth,False
35,"RT @gp_pulipaka: Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI #MachineLearn…",0,7,2019-06-05 04:02:24,React Developer,Everywhere,False
36,"RT @gp_pulipaka: Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI #MachineLearn…",0,7,2019-06-05 04:02:24,React Developer,Everywhere,False
37,"RT @gp_pulipaka: Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI #MachineLearn…",0,7,2019-06-05 04:02:08,Raymond460,,False
38,"RT @marcusborba: Microsoft reaffirms #AI will augment the human experience rather than replace it

https://t.co/OxKPW1s3zH @campbell_kwan @…",0,7,2019-06-05 04:02:07,Neural Networks,,False
39,"RT @gp_pulipaka: Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI #MachineLearn…",0,7,2019-06-05 04:02:04,DeepSingularity,"Los Angeles, CA",False
40,"RT @gp_pulipaka: Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI #MachineLearn…",0,7,2019-06-05 04:02:02,Serverless Fan,Sri Lanka,False
41,"RT @aicanedo: 7 Indicators: The State Of #AI #MachineLearning #DeepLearning #BigData #Fintech #Datascience #HealthTech #Marketing #tech
htt…",0,3,2019-06-05 04:01:57,Rovio,,False
42,"Introducing TensorNetwork, A Library for Efficient Tensor Calculations. #BigData #Analytics #DataScience #AI… https://t.co/45Px3nl9i3",3,7,2019-06-05 04:01:57,Dr. GP Pulipaka,"Redondo Beach, CA",False
43,RT @tianhuil: Join us on July 25th for @thedatainc's FREE webinar series - #DataScience in 30 minutes: Choosing Your #DataScience Career Pa…,0,1,2019-06-05 04:01:52,Machine Learning,The Earth,False
44,"RT @ipfconline1: How To Get Started With Machine Learning in About 10 Minutes!
 
#MachineLearning with #Python is easy
Everything has been…",0,2,2019-06-05 04:01:39,Alok Singh,India,False
45,"HT KirkDBorne :

Coding #DeepLearning For Beginners — the Types of #MachineLearning:
➡️ Supervised Learning
➡️ Unsu… https://t.co/4veOMbecFh",0,0,2019-06-05 04:01:36,"Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan",False
46,"Updated my #DataScience build tool #Prodmodel with a few things like AWS S3 integration, pydoc, JSON input files.
https://t.co/T6LDH8OaLS",0,0,2019-06-05 04:01:31,Gergely Svigruha,"New York, NY",False
47,"RT @AnsonMccadeAus: EY to open 24/7 cybersecurity centre in Melbourne
https://t.co/76404HSc4S #technology #TechNews #DataScience #DataScien…",0,2,2019-06-05 04:01:06,Machine Learning,The Earth,False
48,"RT @AnsonMcCade: The Virgin Hyperloop One: Meet the man building the 700mph transport system of the future

via @ansonmccade https://t.co/U…",0,2,2019-06-05 04:00:57,Machine Learning,The Earth,False
49,RT @MikeQuindazzi: #AI-related #patent applications increase from 19k to 56k in just 4 years &gt;&gt;&gt; @FT via @MikeQuindazzi  &gt;&gt;&gt; #AI #Robotics…,0,109,2019-06-05 04:00:55,Neural Networks,,False
50,"RT @andy_fitze: #AIBest by @KirkDBorne 
https://t.co/OiNXK6eZvj 
The Supervised #MachineLearning process – putting your labeled data to wor…",0,4,2019-06-05 04:00:49,Céline Gianni Darnet,France,False
51,"RT @AnsonMccadeAus: AI: The Future or a Tool to Create it?
https://t.co/CjjnoInq5k #technology #TechNews #DataScience #DataScientist #DataA…",0,3,2019-06-05 04:00:47,Machine Learning,The Earth,False
52,7 Steps to Mastering SQL for Data Science https://t.co/dZSQzNbGlS #DataScience #Analytics #SQL,0,0,2019-06-05 04:00:40,Dr. Rajeev Bukralia,"Minnesota, USA",False
53,"RT @DataScientistFr: High-Variety #BigData can be a Bias-Buster:  https://t.co/IW5jf1TCdf  
———
#DataMakesPossible #BigData #AI #MachineLea…",0,3,2019-06-05 04:00:39,Neural Networks,,False
54,5 Essentials for Relationship Marketing  https://t.co/CiEkONVLGZ #leadership #cybersecurity #business #marketing… https://t.co/07kqRNSwoe,0,0,2019-06-05 04:00:34,Alok Singh,India,False
55,RT @gp_pulipaka: Dynamic Regeneration is a Partial Redeployment of the Embryonic Gene Network. #BigData #Analytics #DataScience #AI #Machin…,0,8,2019-06-05 04:00:27,GentooBot,The Cloud,False
56,"How To Get Started With Machine Learning in About 10 Minutes!
 
#MachineLearning with #Python is easy
Everything ha… https://t.co/krPPf2Gelz",1,2,2019-06-05 04:00:16,ipfconline #DA19eu,"Marseille, France",False
57,RT @MikeTamir: A Repository of Conversational Datasets – Matt Henderson – Medium https://t.co/aeTUsfVky7 #AI #MachineLearning #DeepLearning…,0,21,2019-06-05 04:00:13,Neural Networks,,False
58,"RT @AnsonMccadeAus: Deep Learning For Autonomous Cars And The Role Of Imitation
https://t.co/J1QCboug9E #technology #TechNews #DataScience…",0,1,2019-06-05 04:00:11,Machine Learning,The Earth,False
59,10 Ways to know your Target Audience https://t.co/2SLVdJacEQ … #leadership #cybersecurity #business #marketing… https://t.co/d3jsTBBIxq,2,0,2019-06-05 04:00:02,Alok Singh,India,False
60,RT @gp_pulipaka: Dynamic Regeneration is a Partial Redeployment of the Embryonic Gene Network. #BigData #Analytics #DataScience #AI #Machin…,0,8,2019-06-05 03:59:13,Rstats,,False
61,RT @gp_pulipaka: Nominate HIMSS Most Influential Women in Health IT Awards - 2019. #BigData #Analytics #DataScience #AI #MachineLearning #I…,0,12,2019-06-05 03:59:13,Rstats,,False
62,RT @gp_pulipaka: Using #ReinforcementLearning to Trade #Bitcoin for Massive Profit. #BigData #Analytics #DataScience #AI #MachineLearning #…,0,12,2019-06-05 03:59:12,Rstats,,False
63,"RT @KirkDBorne: (Upcoming Book) The Foundations of #DataScience — https://t.co/12suWMPjFO #abdsc
———
#BigData #MachineLearning #Mathematics…",0,28,2019-06-05 03:59:07,Rovio,,False
64,"RT KirkDBorne: Coding #DeepLearning For Beginners — the Types of #MachineLearning:
➡️ Supervised Learning
➡️ Unsupe… https://t.co/rA77NFT7kK",0,0,2019-06-05 03:59:05,Reina Lingle,Greater Atlanta Area,False
65,"RT KirkDBorne: Unsupervised Learning and its role in the knowledge discovery process: https://t.co/zFLg8cSfYw 
————… https://t.co/WPO8Nyy4Ym",0,0,2019-06-05 03:59:04,Reina Lingle,Greater Atlanta Area,False
66,RT @Deep_In_Depth: What Skills Should Aspiring Data Scientists Develop? https://t.co/CKVLvZi0lH #DeepLearning #MachineLearning #AI #DataSci…,0,11,2019-06-05 03:59:02,Neural Networks,,False
67,"RT @AnsonMccadeAus: Google Discover loses topic bubbles for more compact feed

https://t.co/ru1x5BG446  #technology #TechNews #DataScience…",0,3,2019-06-05 03:59:00,Machine Learning,The Earth,False
68,"RT @KirkDBorne: Coding #DeepLearning For Beginners — the Types of #MachineLearning:
➡️ Supervised Learning
➡️ Unsupervised Learning
➡️ Rein…",0,4,2019-06-05 03:58:48,Santchi,Wirral,False
69,RT @LAPI_epfl: Check out our exciting new methodology for dimensionality reduction and network inference of climate data. Powerful metrics…,0,2,2019-06-05 03:58:40,Machine Learning,The Earth,False
70,RT @gp_pulipaka: Dynamic Regeneration is a Partial Redeployment of the Embryonic Gene Network. #BigData #Analytics #DataScience #AI #Machin…,0,8,2019-06-05 03:58:36,Alok Singh,India,False
71,RT @AppenGlobal: Amazon reMARS day one is a go! @AppenGlobal helps companies collect and annotate high-quality training data for #MachineLe…,0,4,2019-06-05 03:58:35,Rovio,,False
72,RT @retinaai: Questions Marketers Need to Ask About Customer Lifetime Value - Customer lifetime value (CLV or LTV) is a term that is used r…,0,1,2019-06-05 03:58:34,Machine Learning,The Earth,False
73,"Coding #DeepLearning For Beginners — the Types of #MachineLearning:
➡️ Supervised Learning
➡️ Unsupervised Learning… https://t.co/g3PH49w9Ne",6,4,2019-06-05 03:58:24,Kirk Borne,Booz Allen Hamilton,True
74,"RT @ahmedjr_16: Enterprise Business Intelligence with Tableau Server #BusinessIntelligence

https://t.co/WfFCJ3zcLX

#SAP #SQLServer #SQL #…",0,10,2019-06-05 03:58:21,Santchi,Wirral,False
75,RT @Datascience__: Fitting Statistical Models to Data with Python https://t.co/lV0KruKw7Z  #datascience #ad,0,3,2019-06-05 03:58:15,Machine Learning,The Earth,False
76,"RT @seomilwaukee: Another day in the life of a marketing director
#DataScience https://t.co/HFS5IkUIkp",0,2,2019-06-05 03:58:14,AdaptiveBox,USA,False
77,RT @neptanum: The Best Front-End Hacking Cheat Sheets — All in One Place. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT…,0,8,2019-06-05 03:58:07,Joetke,"Strasbourg, France",False
78,"RT @TiffanyTimbers: @jtleek @mbeisen Yes, I think we're at the point where we can *at least* attempt to define #DataScience instead of sayi…",0,1,2019-06-05 03:58:00,Machine Learning,The Earth,False
79,"RT @ahmedjr_16: Enterprise Business Intelligence with Tableau Server #BusinessIntelligence

https://t.co/WfFCJ3zcLX

#SAP #SQLServer #SQL #…",0,10,2019-06-05 03:57:45,Adrinbot,Georgia,False
80,RT @rlingle: RT KirkDBorne: RT LentiqInc: We are glad to be in the #Top50 #DataAnalytics Software Products on Financesonline! Check out our…,0,1,2019-06-05 03:57:43,Machine Learning,The Earth,False
81,"RT @ahmedjr_16: Enterprise Business Intelligence with Tableau Server #BusinessIntelligence

https://t.co/WfFCJ3zcLX

#SAP #SQLServer #SQL #…",0,10,2019-06-05 03:57:40,Thomas Hilbig 2.0,,False
82,"RT @dario_sipos: How to use #Google search like unicorn 
#Socialmediamarketing #socialmedia #digitalmarketing #contentmarketing #growthhack…",0,8,2019-06-05 03:57:39,Apolline Adiju💥,"Stockholm, Sweden",False
83,"RT @THEAdamGabriel: HT KirkDBorne :

We are glad to be in the #Top50 #DataAnalytics Software Products on Financesonline! Check out our revi…",0,1,2019-06-05 03:57:36,Machine Learning,The Earth,False
84,"RT @KirkDBorne: Unsupervised Learning and its role in the knowledge discovery process: https://t.co/x2FpHGoc3N 
————— 
#BigData #DataScienc…",0,4,2019-06-05 03:57:29,Chidambara .ML.,Mysore  and  BERLIN ,False
85,RT @hasdid: #DataScience  #Automated | Webinar: The Data Scientist's Guide to Preserving Privacy https://t.co/iDo17hNbMJ,0,2,2019-06-05 03:57:17,Machine Learning,The Earth,False
